Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,492.25,500.79998779296875,492.25,497.45001220703125,497.45001220703125,1220655
2022-01-04,496.95001220703125,497.8500061035156,484.04998779296875,489.45001220703125,489.45001220703125,1166045
2022-01-05,486.95001220703125,492.6000061035156,483.5,489.54998779296875,489.54998779296875,664939
2022-01-06,482.5,492.79998779296875,477.25,488.8999938964844,488.8999938964844,842383
2022-01-07,490.0,495.45001220703125,483.8500061035156,490.45001220703125,490.45001220703125,1107610
2022-01-10,492.1000061035156,505.0,491.3500061035156,503.70001220703125,503.70001220703125,1080986
2022-01-11,503.70001220703125,507.95001220703125,498.20001220703125,501.25,501.25,1403186
2022-01-12,505.0,511.79998779296875,503.3999938964844,507.1000061035156,507.1000061035156,680385
2022-01-13,504.5,513.8499755859375,495.0,511.95001220703125,511.95001220703125,1208916
2022-01-14,509.8999938964844,515.2999877929688,505.6499938964844,509.75,509.75,938170
2022-01-17,514.0999755859375,526.9000244140625,512.2000122070312,525.0,525.0,1174570
2022-01-18,528.2000122070312,528.3499755859375,507.1000061035156,510.95001220703125,510.95001220703125,1508361
2022-01-19,510.3500061035156,522.0,504.95001220703125,520.75,520.75,1598778
2022-01-20,520.75,523.0499877929688,512.0,515.7000122070312,515.7000122070312,650960
2022-01-21,510.79998779296875,513.9000244140625,494.29998779296875,502.0,502.0,1325230
2022-01-24,500.5,504.25,473.45001220703125,478.54998779296875,478.54998779296875,1944951
2022-01-25,473.0,492.3500061035156,467.6000061035156,490.3999938964844,490.3999938964844,1523451
2022-01-27,481.8999938964844,502.5,477.5,494.25,494.25,950616
2022-01-28,500.1000061035156,509.29998779296875,495.5,497.3999938964844,497.3999938964844,888583
2022-01-31,507.0,519.5,498.1499938964844,517.5,517.5,2175057
2022-02-01,507.0,514.6500244140625,493.20001220703125,504.29998779296875,504.29998779296875,2097367
2022-02-02,510.0,514.4000244140625,505.3500061035156,506.3999938964844,506.3999938964844,604766
2022-02-03,509.0,514.3499755859375,502.8999938964844,504.6000061035156,504.6000061035156,1232577
2022-02-04,504.5,507.8500061035156,499.0,500.54998779296875,500.54998779296875,1251726
2022-02-07,502.0,504.3999938964844,492.6499938964844,494.79998779296875,494.79998779296875,533630
2022-02-08,498.6000061035156,498.6000061035156,479.29998779296875,492.5,492.5,1793813
2022-02-09,495.29998779296875,503.70001220703125,494.75,501.3500061035156,501.3500061035156,549340
2022-02-10,507.0,510.0,504.20001220703125,507.29998779296875,507.29998779296875,1170471
2022-02-11,502.04998779296875,506.79998779296875,497.0,498.3500061035156,498.3500061035156,501704
2022-02-15,476.79998779296875,505.29998779296875,467.20001220703125,503.8500061035156,503.8500061035156,2473128
